Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Degree,Polygon
ASV561_B,ASV561_B,,4,0.380482,0.402978,721.056098,4,23,
ASV562_B,ASV562_B,,4,0.38104,0.402658,576.309325,6,20,
ASV563_B,ASV563_B,,4,0.384133,0.407701,913.66381,6,25,
ASV564_B,ASV564_B,,4,0.373252,0.394172,734.280093,6,21,
ASV565_B,ASV565_B,,4,0.397025,0.42227,1031.731962,3,27,
ASV568_B,ASV568_B,,4,0.397328,0.423311,1218.961851,3,29,
ASV569_B,ASV569_B,,4,0.386845,0.410583,820.023054,2,24,
ASV57_B,ASV57_B,,4,0.378683,0.399936,856.340302,6,20,
ASV570_B,ASV570_B,,4,0.396571,0.42187,1192.626772,2,27,
ASV571_B,ASV571_B,,4,0.385698,0.409222,693.354963,2,24,
ASV572_B,ASV572_B,,4,0.382299,0.40578,863.764377,4,25,
ASV573_B,ASV573_B,,4,0.37965,0.401137,633.040357,4,20,
ASV575_B,ASV575_B,,4,0.381598,0.403458,560.358068,3,21,
ASV576_B,ASV576_B,,4,0.38104,0.402097,586.752694,1,19,
ASV577_B,ASV577_B,,4,0.388433,0.411944,812.342852,5,23,
ASV578_B,ASV578_B,,4,0.358101,0.373759,262.66585,8,13,
ASV58_B,ASV58_B,,3,0.387421,0.411143,843.425851,2,25,
ASV580_B,ASV580_B,,4,0.365007,0.382405,415.023311,7,16,
ASV583_B,ASV583_B,,4,0.394767,0.420189,1184.95289,1,28,
ASV587_B,ASV587_B,,4,0.387999,0.412344,828.154653,4,26,
ASV589_B,ASV589_B,,4,0.394617,0.419068,922.151991,3,25,
ASV59_B,ASV59_B,,4,0.37527,0.396414,517.977683,2,21,
ASV590_B,ASV590_B,,4,0.3809,0.402337,535.757724,0,20,
ASV593_B,ASV593_B,,4,0.381319,0.402818,610.452882,5,20,
ASV594_B,ASV594_B,,4,0.385413,0.409302,1098.43457,6,26,
ASV595_B,ASV595_B,,4,0.39748,0.423071,1179.261338,4,28,
ASV597_B,ASV597_B,,4,0.379235,0.400416,536.68173,3,20,
ASV598_B,ASV598_B,,4,0.389159,0.414425,996.663012,2,28,
ASV599_B,ASV599_B,,3,0.39209,0.416587,873.966446,7,26,
ASV6_B,ASV6_B,,4,0.372985,0.393132,675.519298,2,20,
ASV60_B,ASV60_B,,4,0.374865,0.395613,688.554335,6,20,
ASV600_B,ASV600_B,,4,0.380622,0.402738,596.113363,8,21,
ASV601_B,ASV601_B,,4,0.362465,0.378802,368.945997,6,14,
ASV602_B,ASV602_B,,3,0.39748,0.422671,1240.998243,6,27,
ASV603_B,ASV603_B,,4,0.385128,0.408421,874.223768,6,24,
ASV605_B,ASV605_B,,4,0.399463,0.425552,1222.651184,7,29,
ASV609_B,ASV609_B,,3,0.38945,0.412424,754.313753,7,22,
ASV61_B,ASV61_B,,4,0.386558,0.410823,923.152856,2,26,
ASV611_B,ASV611_B,,4,0.394468,0.419869,1031.435047,3,28,
ASV612_B,ASV612_B,,4,0.385413,0.409462,1065.638029,6,26,
ASV613_B,ASV613_B,,4,0.379927,0.402818,797.933233,6,24,
ASV614_B,ASV614_B,,4,0.367455,0.386487,458.786025,1,19,
ASV615_B,ASV615_B,,4,0.37827,0.401137,782.149856,3,24,
ASV617_B,ASV617_B,,4,0.382159,0.40554,848.077922,4,25,
ASV619_B,ASV619_B,,4,0.371388,0.391531,436.435764,8,20,
ASV620_B,ASV620_B,,3,0.415569,0.442843,1661.640721,3,33,
ASV621_B,ASV621_B,,4,0.386271,0.409862,756.239951,5,24,
ASV624_B,ASV624_B,,4,0.379235,0.401937,680.336003,2,24,
ASV625_B,ASV625_B,,4,0.370595,0.389609,544.642255,1,18,
ASV628_B,ASV628_B,,3,0.394917,0.419629,985.145219,5,26,
ASV629_B,ASV629_B,,4,0.370463,0.389529,515.008708,6,18,
ASV63_B,ASV63_B,,3,0.392534,0.416747,997.093544,1,25,
ASV632_B,ASV632_B,,4,0.402708,0.429155,1396.953757,3,30,
ASV633_B,ASV633_B,,4,0.372584,0.39137,417.19248,2,16,
ASV634_B,ASV634_B,,4,0.372584,0.392411,438.229693,4,18,
ASV635_B,ASV635_B,,4,0.382159,0.404739,775.251527,7,22,
ASV638_B,ASV638_B,,4,0.384985,0.407541,859.588811,5,22,
ASV639_B,ASV639_B,,4,0.388723,0.412984,1045.77303,6,26,
ASV64_B,ASV64_B,,4,0.380622,0.403058,778.521771,2,23,
ASV644_B,ASV644_B,,3,0.388868,0.412744,1003.867857,6,25,
ASV646_B,ASV646_B,,4,0.383002,0.405379,743.032661,7,22,
ASV648_B,ASV648_B,,4,0.372318,0.393132,730.526529,6,21,
ASV649_B,ASV649_B,,4,0.357609,0.372719,175.418984,7,12,
ASV65_B,ASV65_B,,4,0.378959,0.401297,639.343905,2,23,
ASV651_B,ASV651_B,,4,0.388868,0.412824,877.92124,5,25,
ASV653_B,ASV653_B,,4,0.386414,0.409302,757.501573,3,22,
ASV654_B,ASV654_B,,4,0.380622,0.402818,693.249491,4,22,
ASV656_B,ASV656_B,,4,0.394767,0.42115,1330.582182,7,30,
ASV657_B,ASV657_B,,4,0.379235,0.401057,594.862001,2,21,
ASV659_B,ASV659_B,,4,0.366163,0.384166,384.736361,1,16,
ASV66_B,ASV66_B,,4,0.387277,0.410823,854.292879,2,24,
ASV663_B,ASV663_B,,3,0.408556,0.435639,1505.636567,0,32,
ASV664_B,ASV664_B,,4,0.395968,0.42115,1081.667626,5,27,
ASV668_B,ASV668_B,,4,0.384417,0.407381,916.710426,2,23,
ASV674_B,ASV674_B,,4,0.378408,0.400817,928.03094,4,23,
ASV679_B,ASV679_B,,3,0.381458,0.403458,743.357817,5,22,
ASV68_B,ASV68_B,,3,0.393722,0.418668,1273.918605,3,27,
ASV681_B,ASV681_B,,4,0.376764,0.398015,691.562073,8,21,
ASV682_B,ASV682_B,,4,0.385984,0.409062,930.551559,6,23,
ASV684_B,ASV684_B,,4,0.392386,0.416987,798.753508,3,25,
ASV685_B,ASV685_B,,4,0.386128,0.409382,717.606864,4,23,
ASV686_B,ASV686_B,,4,0.367715,0.386808,522.725312,3,18,
ASV687_B,ASV687_B,,4,0.375948,0.396494,550.742974,5,19,
ASV689_B,ASV689_B,,4,0.367585,0.385767,292.276302,2,15,
ASV692_B,ASV692_B,,4,0.372184,0.392972,690.37136,6,22,
ASV694_B,ASV694_B,,3,0.393871,0.419148,1465.842796,6,28,
