Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ASV_196,ASV_196,,8,0.239837,0.276301,88.034001,7
ASV_197,ASV_197,,9,0.193443,0.226809,95.104422,2
ASV_199,ASV_199,,8,0.296482,0.356507,576.405922,9
ASV_2,ASV_2,,6,0.285714,0.332345,27.287147,7
ASV_203,ASV_203,,7,0.289216,0.334685,311.583067,4
ASV_204,ASV_204,,7,0.230019,0.274556,79.869356,6
ASV_207,ASV_207,,9,0.19281,0.218738,16.934989,4
ASV_208,ASV_208,,0,0,0,0,10
ASV_21,ASV_21,,7,0.289926,0.333414,19.134867,7
ASV_210,ASV_210,,7,0.22736,0.255266,19.718835,6
ASV_22,ASV_22,,7,0.314667,0.373245,725.172423,2
ASV_223,ASV_223,,8,0.230469,0.262016,138.595022,9
ASV_23,ASV_23,,7,0.286408,0.338358,241.858005,5
ASV_231,ASV_231,,7,0.292079,0.345278,195.029746,9
ASV_235,ASV_235,,8,0.216514,0.244603,22.371429,9
ASV_24,ASV_24,,7,0.296482,0.345843,140.141727,12
ASV_25,ASV_25,,7,0.299492,0.337651,160.455672,12
ASV_251,ASV_251,,8,0.262222,0.301564,39.012193,9
ASV_26,ASV_26,,6,0.311346,0.365537,458.123561,5
ASV_27,ASV_27,,7,0.298734,0.354459,193.462243,7
ASV_274,ASV_274,,9,0.242798,0.274681,29.377778,5
ASV_28,ASV_28,,7,0.238866,0.259968,0,3
ASV_29,ASV_29,,7,0.29798,0.350504,111.48423,7
ASV_3,ASV_3,,6,0.305699,0.358333,430.835354,12
ASV_30,ASV_30,,0,0,0,0,11
ASV_32,ASV_32,,6,0.346041,0.413136,691.125627,7
ASV_33,ASV_33,,8,0.227799,0.261471,29.805988,9
ASV_35,ASV_35,,8,0.239351,0.280942,257.296191,2
ASV_37,ASV_37,,7,0.253219,0.284201,51.090687,2
ASV_39,ASV_39,,7,0.289926,0.337934,189.937141,12
ASV_4,ASV_4,,7,0.251599,0.287228,161.733491,2
ASV_40,ASV_40,,6,0.308094,0.35904,391.393164,4
ASV_41,ASV_41,,6,0.291358,0.331073,61.632704,5
ASV_42,ASV_42,,7,0.299492,0.347115,22.993883,7
ASV_43,ASV_43,,7,0.294264,0.351493,298.62983,7
ASV_45,ASV_45,,9,0.164804,0.183781,117,3
ASV_46,ASV_46,,8,0.230019,0.266636,73.229509,4
ASV_47,ASV_47,,9,0.218924,0.249842,41.553968,4
ASV_48,ASV_48,,8,0.248945,0.28187,26.382937,5
ASV_49,ASV_49,,8,0.23506,0.263428,27.836652,4
ASV_5,ASV_5,,7,0.308901,0.369431,420.411437,7
ASV_53,ASV_53,,6,0.305699,0.352966,361.663971,5
ASV_57,ASV_57,,7,0.265169,0.298386,0,7
ASV_59,ASV_59,,6,0.331461,0.378107,479.882888,9
ASV_6,ASV_6,,6,0.315508,0.367938,307.474765,12
ASV_60,ASV_60,,6,0.314667,0.36822,442.142586,3
ASV_62,ASV_62,,8,0.224762,0.246378,0,4
ASV_64,ASV_64,,7,0.272517,0.313216,102.376505,4
ASV_66,ASV_66,,8,0.196339,0.218311,232,3
ASV_67,ASV_67,,6,0.29798,0.341667,202.924286,2
ASV_68,ASV_68,,0,0,0,0,13
ASV_7,ASV_7,,7,0.27896,0.32615,79.736193,5
ASV_71,ASV_71,,6,0.263982,0.302684,94.869358,7
ASV_72,ASV_72,,7,0.260486,0.299233,147.10174,12
ASV_75,ASV_75,,7,0.250531,0.287954,164.027922,5
ASV_76,ASV_76,,8,0.236948,0.278642,132.687031,5
ASV_79,ASV_79,,1,1,1,0,15
ASV_8,ASV_8,,6,0.332394,0.393362,735.911367,12
ASV_81,ASV_81,,7,0.241803,0.268866,345,3
ASV_82,ASV_82,,7,0.268182,0.315274,178.725811,4
ASV_83,ASV_83,,0,0,0,0,14
ASV_86,ASV_86,,8,0.207018,0.226342,0,12
ASV_87,ASV_87,,9,0.201365,0.221008,0,2
ASV_88,ASV_88,,7,0.243299,0.278753,141.199839,12
ASV_89,ASV_89,,1,1,1,0,15
ASV_9,ASV_9,,9,0.206655,0.233216,91.832143,2
ASV_91,ASV_91,,7,0.272517,0.314205,220.246214,4
ASV_92,ASV_92,,8,0.216117,0.242645,21.848052,2
ASV_94,ASV_94,,7,0.229126,0.250323,0,5
ASV_95,ASV_95,,0,0,0,0,16
ASV_98,ASV_98,,8,0.236948,0.26817,21.395076,7
ASV_99,ASV_99,,6,0.266968,0.302825,56.342094,3
