Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ASV100,ASV100,,4,0.371886,0.396996,690.288828,5
ASV1001,ASV1001,,4,0.358286,0.37932,314.864539,0
ASV1002,ASV1002,,5,0.302314,0.31882,39.831089,0
ASV1003,ASV1003,,4,0.364111,0.386895,572.877152,4
ASV1005,ASV1005,,5,0.32088,0.33857,129.730651,0
ASV101,ASV101,,4,0.380461,0.408426,920.205825,1
ASV1018,ASV1018,,4,0.345074,0.365763,384.914296,4
ASV1025,ASV1025,,4,0.354037,0.379452,434.82773,4
ASV1029,ASV1029,,4,0.363268,0.387161,547.644557,4
ASV103,ASV103,,4,0.364747,0.387693,394.42355,0
ASV1036,ASV1036,,5,0.358901,0.383626,594.778512,0
ASV104,ASV104,,4,0.369912,0.394604,711.076613,6
ASV1040,ASV1040,,4,0.355846,0.376528,423.45564,0
ASV1050,ASV1050,,4,0.335115,0.352605,228.912075,1
ASV1053,ASV1053,,4,0.350475,0.371744,265.855782,1
ASV1059,ASV1059,,4,0.359518,0.381313,305.161135,0
ASV106,ASV106,,4,0.383956,0.414274,1303.641845,0
ASV1077,ASV1077,,4,0.3618,0.386231,603.442957,4
ASV108,ASV108,,4,0.375899,0.40218,630.42233,0
ASV109,ASV109,,4,0.375449,0.401116,751.482698,0
ASV11,ASV11,,4,0.384191,0.410952,936.825132,5
ASV110,ASV110,,4,0.378623,0.404173,853.757145,5
ASV111,ASV111,,4,0.373659,0.397661,626.884587,1
ASV112,ASV112,,4,0.371445,0.396332,717.005525,4
ASV113,ASV113,,4,0.341503,0.36244,293.499377,0
ASV116,ASV116,,4,0.377711,0.401515,782.75434,3
ASV1166,ASV1166,,4,0.325884,0.342637,158.754239,2
ASV118,ASV118,,4,0.319572,0.33639,161.144458,0
ASV119,ASV119,,4,0.38023,0.407762,893.355154,5
ASV12,ASV12,,4,0.372992,0.399256,626.16448,1
ASV120,ASV120,,4,0.381387,0.407895,803.880591,0
ASV121,ASV121,,4,0.371226,0.396996,549.642358,0
ASV122,ASV122,,4,0.367096,0.392743,742.084547,4
ASV123,ASV123,,4,0.370348,0.394205,699.406475,3
ASV124,ASV124,,4,0.366025,0.390218,412.415645,6
