Id,Label,timeset,Polygon,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ASV599_B,ASV599_B,,,7,4,0.393153,0.417783,842.687057
ASV6_B,ASV6_B,,,4,4,0.37415,0.394498,635.038701
ASV60_B,ASV60_B,,,3,4,0.375359,0.396093,639.913145
ASV600_B,ASV600_B,,,2,4,0.385041,0.407974,658.193486
ASV601_B,ASV601_B,,,5,4,0.365768,0.383413,419.256578
ASV602_B,ASV602_B,,,7,3,0.398551,0.423764,1182.680298
ASV603_B,ASV603_B,,,3,4,0.387037,0.410845,905.929942
ASV605_B,ASV605_B,,,7,4,0.401306,0.427352,1194.128455
ASV609_B,ASV609_B,,,7,3,0.39212,0.41563,786.002329
ASV61_B,ASV61_B,,,0,4,0.386179,0.410367,888.888936
ASV611_B,ASV611_B,,,6,4,0.395234,0.420654,966.276168
ASV612_B,ASV612_B,,,3,4,0.385467,0.40949,1016.271221
ASV613_B,ASV613_B,,,3,4,0.381665,0.404466,765.482875
ASV614_B,ASV614_B,,,2,4,0.368347,0.3874,444.977228
ASV615_B,ASV615_B,,,0,4,0.378486,0.401356,726.585672
ASV617_B,ASV617_B,,,3,4,0.382924,0.4063,824.860934
ASV619_B,ASV619_B,,,2,4,0.372815,0.393062,436.593547
ASV620_B,ASV620_B,,,0,3,0.416003,0.443222,1594.373192
ASV621_B,ASV621_B,,,1,4,0.38718,0.410845,726.300475
ASV624_B,ASV624_B,,,0,4,0.383486,0.406858,733.626401
ASV625_B,ASV625_B,,,5,4,0.371226,0.390351,540.05695
ASV628_B,ASV628_B,,,1,3,0.398855,0.424083,1008.482463
ASV629_B,ASV629_B,,,5,4,0.377665,0.398884,677.597735
ASV63_B,ASV63_B,,,0,3,0.396584,0.421691,1077.529055
ASV632_B,ASV632_B,,,0,4,0.404568,0.43134,1400.754105
ASV633_B,ASV633_B,,,0,4,0.383205,0.405024,667.021684
ASV634_B,ASV634_B,,,1,4,0.374686,0.394976,496.592761
ASV635_B,ASV635_B,,,2,4,0.383768,0.4063,744.485649
ASV636_B,ASV636_B,,,5,4,0.39977,0.425758,1461.517693
ASV638_B,ASV638_B,,,0,4,0.386036,0.408692,827.258719
ASV639_B,ASV639_B,,,3,3,0.392267,0.417065,1104.394911
ASV64_B,ASV64_B,,,3,4,0.384899,0.408134,827.932887
ASV644_B,ASV644_B,,,3,3,0.389925,0.413876,951.927348
ASV646_B,ASV646_B,,,5,4,0.386179,0.409809,936.234777
ASV648_B,ASV648_B,,,5,4,0.372549,0.393381,691.59549
ASV649_B,ASV649_B,,,2,4,0.358122,0.373046,172.924111
ASV65_B,ASV65_B,,,2,4,0.37712,0.398884,581.397159
ASV651_B,ASV651_B,,,3,4,0.38718,0.410686,768.2968
ASV653_B,ASV653_B,,,0,4,0.386464,0.40933,708.745936
ASV654_B,ASV654_B,,,3,4,0.383346,0.40614,747.723968
ASV656_B,ASV656_B,,,7,4,0.395085,0.421451,1282.955213
ASV657_B,ASV657_B,,,1,4,0.383065,0.405662,650.277161
ASV659_B,ASV659_B,,,5,4,0.366538,0.38453,367.207771
ASV66_B,ASV66_B,,,3,4,0.390508,0.414673,879.591421
ASV663_B,ASV663_B,,,1,3,0.409965,0.437002,1433.168574
ASV664_B,ASV664_B,,,1,4,0.396886,0.422089,1033.295553
ASV668_B,ASV668_B,,,1,4,0.387324,0.410845,973.959324
ASV674_B,ASV674_B,,,6,4,0.381387,0.404386,874.54661
ASV679_B,ASV679_B,,,5,3,0.382644,0.404785,695.092585
ASV68_B,ASV68_B,,,0,3,0.395384,0.420734,1293.16833
ASV681_B,ASV681_B,,,2,4,0.376984,0.398086,649.166319
ASV682_B,ASV682_B,,,1,4,0.38862,0.412281,947.307548
ASV684_B,ASV684_B,,,0,4,0.395534,0.420574,833.426725
ASV685_B,ASV685_B,,,6,4,0.386464,0.409729,687.69365
ASV686_B,ASV686_B,,,0,4,0.368607,0.387879,506.926161
ASV687_B,ASV687_B,,,3,4,0.376984,0.397687,514.536949
ASV689_B,ASV689_B,,,0,4,0.367958,0.386124,278.036973
ASV692_B,ASV692_B,,,5,4,0.376712,0.398804,761.494368
ASV694_B,ASV694_B,,,4,3,0.394787,0.420096,1427.237424
ASV695_B,ASV695_B,,,3,3,0.396284,0.421691,1173.577339
ASV697_B,ASV697_B,,,1,4,0.374552,0.394338,452.9113
ASV698_B,ASV698_B,,,2,4,0.375629,0.396332,527.030861
ASV699_B,ASV699_B,,,1,4,0.381248,0.403748,702.937299
ASV7_B,ASV7_B,,,0,4,0.400537,0.427193,1381.921933
ASV70_B,ASV70_B,,,2,4,0.385467,0.409091,896.767024
ASV700_B,ASV700_B,,,5,4,0.378349,0.398724,585.839255
ASV701_B,ASV701_B,,,2,3,0.380277,0.401754,725.870601
ASV702_B,ASV702_B,,,2,4,0.386751,0.410606,738.580779
ASV703_B,ASV703_B,,,5,4,0.376035,0.396252,655.3873
ASV704_B,ASV704_B,,,2,4,0.377256,0.398166,589.612354
ASV705_B,ASV705_B,,,0,3,0.395683,0.420096,946.965825
ASV708_B,ASV708_B,,,7,4,0.402078,0.428469,1444.224678
ASV710_B,ASV710_B,,,2,4,0.386894,0.411085,1068.275926
ASV712_B,ASV712_B,,,1,4,0.395983,0.421212,1034.679168
ASV713_B,ASV713_B,,,0,3,0.413698,0.441308,1762.784266
ASV714_B,ASV714_B,,,5,4,0.379448,0.401595,889.136904
ASV718_B,ASV718_B,,,5,4,0.391679,0.416906,1160.345049
ASV719_B,ASV719_B,,,3,4,0.383486,0.405901,793.610758
ASV72_B,ASV72_B,,,2,4,0.398399,0.425279,1288.558009
ASV720_B,ASV720_B,,,3,3,0.382224,0.403987,652.226111
ASV721_B,ASV721_B,,,2,4,0.370436,0.389314,521.783162
ASV722_B,ASV722_B,,,2,4,0.385041,0.40949,921.417019
ASV724_B,ASV724_B,,,1,4,0.38891,0.412759,861.231782
ASV726_B,ASV726_B,,,5,4,0.388476,0.412041,915.258531
ASV728_B,ASV728_B,,,4,4,0.377256,0.398246,516.173429
ASV73_B,ASV73_B,,,1,3,0.399923,0.425518,1210.228188
ASV732_B,ASV732_B,,,1,4,0.390217,0.414274,1050.519102
ASV733_B,ASV733_B,,,0,4,0.387755,0.411563,853.544372
ASV734_B,ASV734_B,,,2,4,0.387468,0.410925,712.192565
ASV736_B,ASV736_B,,,4,4,0.37415,0.393541,521.130667
ASV737_B,ASV737_B,,,4,4,0.380277,0.402153,682.049043
ASV738_B,ASV738_B,,,0,4,0.37876,0.402233,759.302338
ASV74_B,ASV74_B,,,3,4,0.375224,0.395455,504.69724
ASV740_B,ASV740_B,,,5,3,0.393301,0.418501,1117.429484
ASV743_B,ASV743_B,,,7,4,0.372815,0.391547,374.186915
ASV744_B,ASV744_B,,,4,3,0.379724,0.401754,695.444261
ASV746_B,ASV746_B,,,5,4,0.381665,0.403907,890.146654
ASV747_B,ASV747_B,,,7,4,0.389635,0.412998,802.705018
ASV749_B,ASV749_B,,,0,4,0.384615,0.407496,675.878167
ASV750_B,ASV750_B,,,7,4,0.391826,0.416348,795.299533
ASV751_B,ASV751_B,,,7,3,0.398703,0.423923,1033.384269
ASV752_B,ASV752_B,,,5,3,0.394488,0.419777,1082.411499
ASV754_B,ASV754_B,,,1,4,0.385467,0.408214,780.065511
ASV756_B,ASV756_B,,,0,3,0.39271,0.417225,1068.817801
ASV757_B,ASV757_B,,,5,3,0.389344,0.413557,1025.864795
ASV760_B,ASV760_B,,,7,4,0.377802,0.398804,523.758302
ASV762_B,ASV762_B,,,1,3,0.391386,0.41547,870.117192
ASV763_B,ASV763_B,,,2,4,0.367311,0.385008,350.374574
ASV766_B,ASV766_B,,,1,3,0.391093,0.414833,838.224141
ASV77_B,ASV77_B,,,3,4,0.379035,0.400877,638.714999
ASV770_B,ASV770_B,,,1,4,0.394488,0.420255,1412.709282
ASV772_B,ASV772_B,,,1,4,0.382644,0.404625,720.10372
ASV773_B,ASV773_B,,,5,3,0.411255,0.438915,1843.931767
ASV774_B,ASV774_B,,,1,4,0.381526,0.404705,721.901766
ASV775_B,ASV775_B,,,1,4,0.397036,0.423206,1183.329907
ASV776_B,ASV776_B,,,6,4,0.37509,0.394976,508.557553
ASV777_B,ASV777_B,,,4,4,0.377393,0.397847,483.795532
ASV778_B,ASV778_B,,,6,4,0.37617,0.39689,647.7475
ASV779_B,ASV779_B,,,2,4,0.383346,0.405662,702.21093
ASV78_B,ASV78_B,,,0,4,0.392415,0.417703,1232.634571
ASV781_B,ASV781_B,,,5,4,0.378349,0.399601,540.547061
ASV783_B,ASV783_B,,,4,3,0.393301,0.418182,1107.797613
ASV785_B,ASV785_B,,,7,4,0.370436,0.389793,461.79309
ASV786_B,ASV786_B,,,2,4,0.391386,0.415869,927.303189
ASV787_B,ASV787_B,,,2,4,0.378623,0.400319,758.727135
ASV788_B,ASV788_B,,,6,4,0.359477,0.37504,259.765237
ASV789_B,ASV789_B,,,2,4,0.390654,0.415072,1029.47014
ASV79_B,ASV79_B,,,3,4,0.389054,0.412998,848.248343
ASV793_B,ASV793_B,,,0,4,0.361717,0.379107,231.128547
ASV798_B,ASV798_B,,,1,3,0.392857,0.417384,896.295254
ASV8_B,ASV8_B,,,3,4,0.383486,0.407177,756.738533
ASV80_B,ASV80_B,,,0,3,0.387468,0.411483,1003.307472
ASV800_B,ASV800_B,,,4,4,0.357143,0.37201,229.847741
ASV801_B,ASV801_B,,,1,4,0.393005,0.417305,837.170934
ASV802_B,ASV802_B,,,7,4,0.396434,0.422568,1356.320621
ASV804_B,ASV804_B,,,0,3,0.403943,0.429984,1130.871136
ASV806_B,ASV806_B,,,2,4,0.383627,0.405662,736.718604
ASV809_B,ASV809_B,,,3,4,0.377665,0.398884,620.087064
ASV810_B,ASV810_B,,,3,4,0.376577,0.397368,530.6158
ASV811_B,ASV811_B,,,5,4,0.381665,0.404067,741.837165
ASV817_B,ASV817_B,,,1,4,0.387037,0.411404,980.151534
ASV818_B,ASV818_B,,,3,4,0.375899,0.397289,637.5093
ASV819_B,ASV819_B,,,4,4,0.387468,0.410845,783.204545
ASV820_B,ASV820_B,,,2,4,0.376848,0.397687,572.964404
ASV821_B,ASV821_B,,,3,3,0.386036,0.40925,875.934524
ASV822_B,ASV822_B,,,2,4,0.381665,0.403987,539.569281
ASV826_B,ASV826_B,,,0,3,0.414847,0.442105,1671.992796
