ASV_ID,similarity,coverage,superkingdom,kingdom,phylum,class,order,family,genus,species
ASV_364,100,94.1,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Deuterostichococcus,Deuterostichococcus epilithicus
ASV_365,99,94.2,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Stichococcus,Stichococcus mirabilis
ASV_379,87.1,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris sp.
ASV_383,100,99.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Stichococcus,Stichococcus sp.
ASV_397,98.4,93.7,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Chloroidium,Chloroidium laureanum
ASV_402,99.8,94.1,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Deuterostichococcus,Deuterostichococcus epilithicus
ASV_403,94.5,85,Eukaryota,Viridiplantae,Chlorophyta,NA,NA,NA,NA,Chlorophyta sp.
ASV_407,99.5,93.7,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Chloroidium,Chloroidium laureanum
ASV_408,97.6,100,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Gloeocystis,Gloeocystis sp.
ASV_409,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris sp.
ASV_411,85.7,99.8,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Coccomyxa,Coccomyxa sp.
ASV_412,92,93.5,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Elliptochloris,Elliptochloris antarctica
ASV_422,92.2,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Stichococcus,Stichococcus sp.
ASV_423,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Coccomyxa,Coccomyxa subellipsoidea
ASV_443,82.5,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Dictyochloropsis symbiontica
ASV_451,99.8,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Pseudochlorella,Pseudochlorella pyrenoidosa
ASV_462,97.8,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Coccomyxa,Coccomyxa sp.
ASV_463,98.8,99.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Pseudochlorella,Pseudochlorella sp.
ASV_464,89.7,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Prasiola,Prasiola cf.
ASV_474,85.7,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris sp.
ASV_475,99.8,99.8,Eukaryota,Viridiplantae,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Interfilum,Interfilum sp.
ASV_484,99.8,94.1,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Deuterostichococcus,Deuterostichococcus epilithicus
ASV_485,98,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia gigantea
ASV_487,93.9,85,Eukaryota,Viridiplantae,Chlorophyta,NA,NA,NA,NA,Chlorophyta sp.
ASV_489,99.8,99.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia sp.
ASV_491,88,98.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,NA,Trebouxiophyceae sp.
ASV_495,88.2,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris sp.
ASV_498,86.3,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris sp.
ASV_499,92.6,99.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Stichococcus,Stichococcus bacillaris
