OTUid,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,MPC_01,MPC_02,MPC_03,MPC_04,MPC_05,MPC_06,MPC_07,MPC_08,MPC_09,MPC_10,MPC_11,MPC_12,MPC_13,MPC_14,MPC_15,MPC_16,MPC_17,MPC_18,PCN_1,PCN_2,PCN_3,PCN_4,PCN_5,PCN_6,PCN_7,PCN_8
ASV_21,820,0,79,32,0,2346,0,0,6,0,406,81,314,0,0,9,72,542,2546,43,0,0,77,59,47,0,405,18,153,0,0,1878,96,790,75,32,0,0,0,103,0,0,1136,26,66,0,131,38,0,0,2132,32,155,1165,4143,2420,23,15,177,588,32,824,12,46,30,81,23,325,461,11,53,143,23,50,0,315,132,159,172,308,654,245,111,0,2115,16,8026,15,362,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,7,0,0,0,0,0,0,0,19,0,0,0,0,0,0,31,0,0,0,80,0,0,0
ASV_22,82,1110,1149,1066,255,154,1592,1457,848,347,109,644,366,0,372,108,268,861,544,1137,406,1604,699,478,99,390,209,0,184,1787,483,0,1130,1113,442,544,1683,76,334,0,0,577,288,0,2095,0,0,0,0,0,0,0,0,0,0,356,0,129,0,0,0,0,0,313,814,490,116,421,291,777,512,0,721,0,0,0,0,402,0,0,0,0,372,0,0,0,0,0,0,0,396,765,668,0,1698,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_23,0,43,680,0,226,0,135,0,384,825,1037,0,0,177,37,41,0,190,324,415,95,119,240,0,326,0,666,1179,279,0,0,1097,330,313,358,1674,0,374,1097,4653,1625,110,110,20,447,747,0,286,231,0,440,0,0,341,0,326,130,3425,248,0,1221,0,0,202,550,105,246,289,771,0,312,0,123,0,70,0,77,449,0,0,0,0,1342,21,0,0,0,0,0,0,38,0,1147,639,0,254,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,162,0,35,0,0,0,16,0
ASV_24,36,177,657,23,547,64,244,81,935,1004,264,45,242,1854,178,916,279,226,28,462,135,197,85,44,243,0,114,188,82,59,114,21,291,132,1632,1800,162,899,877,211,2360,0,0,821,198,237,140,187,329,366,312,118,59,138,12,53,61,601,91,46,75,0,106,1191,928,194,147,730,137,378,87,14,184,105,151,21,36,43,0,0,107,55,209,795,72,1271,19,736,58,1752,22,111,177,97,205,83,0,0,0,16,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_25,0,107,194,28,83,64,42,212,225,103,511,43,237,181,160,0,117,245,115,260,828,237,81,161,239,147,476,496,184,32,182,1531,305,555,129,955,138,0,0,0,86,0,0,72,773,378,211,216,174,108,675,137,38,156,143,240,452,2075,774,229,670,851,341,739,2255,247,176,726,1129,430,309,0,276,364,324,59,22,215,0,179,139,199,389,292,449,212,187,353,0,29,0,144,0,90,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_26,66,364,507,31,311,84,231,100,657,393,504,95,410,1363,165,120,230,836,219,973,463,496,135,52,268,0,356,308,303,75,279,498,227,181,1166,1940,341,672,501,212,471,111,146,195,358,320,193,333,329,147,670,118,108,239,88,100,94,339,140,112,267,78,372,583,958,285,166,258,77,155,222,16,190,72,180,37,48,158,0,0,151,22,177,581,235,513,131,163,50,459,30,206,143,158,0,28,16,0,0,0,0,0,187,0,0,0,13,20,0,0,0,0,0,0,0,0,0,33,0,0,28,0,0,0,0,0,0,0
ASV_27,559,0,62,47,0,1109,0,0,0,0,275,32,294,18,0,0,0,382,1889,16,24,5,33,34,0,9,827,0,120,0,0,1408,68,474,0,40,0,0,0,76,29,38,821,0,39,10,86,0,0,23,1705,14,109,851,3542,1575,0,0,115,531,0,551,0,58,0,73,0,232,323,0,0,88,0,0,0,196,84,148,98,150,351,117,67,0,1560,0,6211,0,397,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,23,0,0,40,0,0,0,0,0,0,0,51,0,0,0
ASV_28,23,496,1011,113,151,0,24,265,383,42,102,7,0,44,0,29,0,84,0,27,0,368,224,298,15,14,53,111,88,0,145,605,2741,85,1607,318,305,516,93,1059,769,0,12,0,116,52,14,609,153,129,293,155,260,170,520,34,426,1077,1865,46,343,2848,31,126,120,38,455,88,118,1104,319,9,479,207,38,0,0,509,0,40,26,304,719,0,133,0,0,266,52,0,0,8,0,126,489,142,0,14,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,8,0,0,29,0,0,0
ASV_29,15,1634,268,151,152,0,167,13,624,10,0,35,40,218,0,863,3310,39,0,131,127,4125,20,35,21,7,0,28,0,100,0,0,319,180,621,122,1750,133,281,0,0,89,45,155,366,0,0,61,25,229,49,487,75,0,72,27,155,546,324,0,11,62,16,143,562,1611,49,172,0,1126,1537,28,646,76,103,7,98,43,23,15,181,83,206,39,0,225,0,223,55,107,18,306,168,280,490,41,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,8,0,0,0,0,0,0
ASV_30,185,3225,97,0,61,205,36,61,393,0,110,0,0,137,0,195,163,186,72,311,0,9670,0,568,94,0,199,59,101,112,53,170,181,66,663,187,4139,23,0,0,0,264,484,124,0,32,0,93,0,44,44,0,31,60,0,113,0,0,0,590,13,70,0,15,71,429,0,55,0,836,0,0,12,63,0,42,116,128,37,19,0,95,0,25,54,53,55,0,0,133,52,120,78,0,427,31,0,0,0,0,0,0,35,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ASV_31,0,575,1629,78,339,124,331,147,675,282,346,87,598,409,834,139,615,347,167,710,368,929,174,223,197,47,464,314,71,135,221,163,0,338,217,346,297,169,141,0,255,0,59,319,370,398,205,383,183,175,260,173,39,0,97,139,57,277,164,0,220,0,426,284,439,384,228,172,130,220,288,0,188,222,201,0,0,279,0,0,0,0,185,605,257,589,46,168,0,518,270,628,179,207,678,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_32,310,0,32,0,8,559,0,60,0,4,127,24,218,0,0,0,0,190,605,20,0,0,35,190,26,23,4396,119,172,0,330,236,10,59,116,21,0,0,0,0,0,23,228,0,0,0,40,6,0,0,164,0,10,1282,20,410,0,0,0,101,23,0,0,0,0,0,22,84,213,14,12,83,0,7,0,51,12,57,30,0,0,41,8,0,615,0,11420,13,68,0,0,0,0,3,0,25,0,25,0,27,0,19,0,11,0,0,0,0,0,0,0,0,0,32,9,0,0,0,0,0,0,0,0,0,6,0,0,0
