Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
ASV415,ASV415,,4,0.364541,0.387507,720.706966,8,0.033104,0.033104
ASV416,ASV416,,4,0.362631,0.387239,462.44712,4,0.040639,0.040638
ASV417,ASV417,,4,0.369295,0.393392,469.507604,3,0.046002,0.046002
ASV418,ASV418,,4,0.344009,0.36236,306.643621,2,0.015974,0.015974
ASV419,ASV419,,4,0.371275,0.39366,695.622508,6,0.033336,0.033336
ASV421,ASV421,,4,0.370392,0.396602,866.772117,4,0.043905,0.043904
ASV422,ASV422,,4,0.350394,0.373194,234.761003,2,0.0304,0.030399
ASV423,ASV423,,4,0.364541,0.386838,541.869644,7,0.031388,0.031388
ASV424,ASV424,,4,0.375301,0.400482,863.016533,7,0.041874,0.041874
ASV425,ASV425,,4,0.365396,0.388309,566.171342,1,0.032965,0.032965
ASV426,ASV426,,4,0.374399,0.39901,693.305778,7,0.04245,0.04245
ASV427,ASV427,,4,0.327895,0.345773,230.466911,5,0.012639,0.012639
ASV429,ASV429,,4,0.367552,0.390449,471.782103,1,0.039802,0.039802
ASV430,ASV430,,4,0.361579,0.383628,414.51442,8,0.031105,0.031105
ASV432,ASV432,,4,0.355594,0.377608,248.351433,6,0.03627,0.03627
ASV434,ASV434,,4,0.355391,0.37908,423.643085,1,0.041305,0.041304
ASV435,ASV435,,4,0.358871,0.380016,434.328362,2,0.027799,0.027799
ASV437,ASV437,,4,0.368639,0.392723,716.937844,2,0.046298,0.046298
ASV44,ASV44,,4,0.382913,0.409176,813.906533,6,0.063741,0.063741
ASV440,ASV440,,4,0.370833,0.394329,738.610962,8,0.038168,0.038168
ASV441,ASV441,,5,0.304051,0.319128,25.824311,4,0.007552,0.007552
ASV443,ASV443,,4,0.373725,0.397271,613.576388,0,0.039841,0.039842
ASV444,ASV444,,4,0.363477,0.382825,514.834714,8,0.027487,0.027486
ASV445,ASV445,,4,0.336757,0.355805,125.060144,4,0.019259,0.019259
ASV447,ASV447,,4,0.363477,0.38443,412.822592,0,0.035793,0.035793
ASV448,ASV448,,4,0.378723,0.403558,666.536748,4,0.049016,0.049016
ASV450,ASV450,,4,0.36561,0.388577,395.816485,3,0.042532,0.042532
ASV452,ASV452,,4,0.365825,0.388844,730.109221,1,0.028298,0.028298
ASV454,ASV454,,4,0.35743,0.377876,340.431398,2,0.028273,0.028273
ASV455,ASV455,,4,0.374624,0.397539,733.351317,5,0.034961,0.034961
ASV456,ASV456,,4,0.367335,0.394596,696.942006,1,0.05291,0.05291
ASV458,ASV458,,4,0.382209,0.40824,849.280276,2,0.047303,0.047303
ASV459,ASV459,,4,0.375981,0.401819,760.121063,4,0.047617,0.047617
ASV46,ASV46,,4,0.356611,0.377742,568.067144,2,0.025021,0.025021
ASV460,ASV460,,4,0.360324,0.383628,576.509336,1,0.031313,0.031313
ASV461,ASV461,,4,0.371054,0.395131,734.579002,8,0.039254,0.039254
ASV463,ASV463,,4,0.347269,0.36557,253.431536,0,0.020063,0.020063
ASV464,ASV464,,4,0.365396,0.391386,654.473482,4,0.045036,0.045035
ASV465,ASV465,,4,0.320803,0.336811,97.992952,5,0.010248,0.010248
ASV466,ASV466,,4,0.35438,0.374933,365.151336,3,0.025205,0.025205
ASV469,ASV469,,4,0.361579,0.384296,512.13394,1,0.03463,0.03463
ASV47,ASV47,,4,0.369076,0.391787,667.551513,7,0.034095,0.034095
ASV470,ASV470,,4,0.351779,0.371322,361.717127,3,0.021227,0.021227
ASV471,ASV471,,4,0.343251,0.36236,214.588451,5,0.018448,0.018448
ASV473,ASV473,,4,0.352775,0.373863,292.89274,0,0.028345,0.028345
ASV474,ASV474,,4,0.361999,0.385902,730.791325,4,0.028309,0.028309
ASV475,ASV475,,4,0.331207,0.351257,174.128188,1,0.019464,0.019464
ASV476,ASV476,,4,0.36095,0.381354,401.368891,5,0.026594,0.026594
ASV477,ASV477,,4,0.345727,0.367576,241.968122,1,0.028236,0.028236
ASV478,ASV478,,4,0.353977,0.372927,251.966092,4,0.027164,0.027164
ASV48,ASV48,,4,0.359078,0.379347,324.122539,6,0.032664,0.032664
ASV480,ASV480,,4,0.348629,0.370251,260.004235,3,0.028534,0.028534
ASV483,ASV483,,4,0.363477,0.385099,524.939107,8,0.029219,0.029219
ASV486,ASV486,,4,0.36604,0.387507,593.141244,0,0.032727,0.032727
ASV487,ASV487,,4,0.370613,0.394462,733.262389,0,0.036549,0.036549
ASV488,ASV488,,5,0.361579,0.387961,497.40419,4,0.043688,0.043687
ASV489,ASV489,,4,0.367769,0.390717,748.053056,5,0.03002,0.03002
ASV49,ASV49,,4,0.364115,0.386303,584.094599,6,0.03362,0.03362
ASV492,ASV492,,4,0.35743,0.376806,291.266672,8,0.023478,0.023478
ASV493,ASV493,,4,0.367552,0.393125,604.496193,0,0.048144,0.048145
ASV495,ASV495,,4,0.366255,0.388175,543.529343,4,0.032768,0.032768
ASV497,ASV497,,4,0.369952,0.3958,497.231149,4,0.051421,0.051421
ASV499,ASV499,,4,0.376435,0.403424,682.703148,0,0.062872,0.062873
ASV5,ASV5,,4,0.374174,0.399278,598.747289,4,0.054146,0.054146
ASV50,ASV50,,4,0.379415,0.406367,833.95844,6,0.061793,0.061793
ASV500,ASV500,,4,0.348629,0.367175,194.696871,8,0.022305,0.022305
ASV501,ASV501,,4,0.35702,0.377742,378.9214,5,0.024976,0.024975
ASV503,ASV503,,4,0.350788,0.372659,225.137906,0,0.035047,0.035048
ASV504,ASV504,,4,0.375075,0.399946,748.221481,1,0.040643,0.040643
ASV506,ASV506,,4,0.345535,0.362226,180.369514,1,0.019539,0.019538
ASV51,ASV51,,4,0.384568,0.413456,871.289569,3,0.07093,0.07093
ASV510,ASV510,,4,0.358871,0.381621,634.895352,4,0.029291,0.029291
ASV511,ASV511,,4,0.378264,0.407705,1001.744002,8,0.058243,0.058243
ASV513,ASV513,,4,0.35,0.370251,383.887151,2,0.022668,0.022668
ASV515,ASV515,,4,0.371054,0.395934,561.427419,7,0.045788,0.045787
ASV516,ASV516,,4,0.348629,0.369449,358.08392,8,0.022243,0.022243
ASV517,ASV517,,4,0.363689,0.387239,480.278134,2,0.0369,0.0369
ASV518,ASV518,,4,0.364115,0.386838,576.594811,5,0.03181,0.03181
ASV519,ASV519,,4,0.358871,0.379615,307.6063,6,0.033487,0.033487
ASV52,ASV52,,4,0.373277,0.397138,487.632985,6,0.057786,0.057786
ASV521,ASV521,,4,0.367118,0.389112,504.380134,3,0.034431,0.034431
ASV523,ASV523,,4,0.376208,0.399278,792.060151,2,0.036552,0.036552
ASV525,ASV525,,4,0.340251,0.360353,345.548785,0,0.018452,0.018452
ASV526,ASV526,,4,0.360116,0.380952,488.470051,2,0.026822,0.026822
ASV527,ASV527,,4,0.37194,0.395666,494.99082,3,0.046171,0.046171
ASV528,ASV528,,4,0.376891,0.40222,642.797013,0,0.053327,0.053327
ASV529,ASV529,,4,0.371275,0.394997,634.579315,2,0.039666,0.039666
ASV532,ASV532,,4,0.369952,0.392991,594.842735,0,0.03629,0.03629
ASV533,ASV533,,4,0.360324,0.38229,369.173631,2,0.034669,0.034669
ASV536,ASV536,,4,0.347656,0.365837,250.180348,1,0.020962,0.020962
ASV537,ASV537,,4,0.35784,0.378277,596.825008,8,0.022941,0.022941
ASV538,ASV538,,4,0.372608,0.396335,617.672594,1,0.038476,0.038476
ASV539,ASV539,,4,0.33914,0.358748,339.050523,4,0.019984,0.019983
ASV54,ASV54,,4,0.371497,0.395265,752.904484,2,0.036628,0.036628
ASV540,ASV540,,4,0.378723,0.404494,760.441686,0,0.052403,0.052403
ASV541,ASV541,,4,0.367335,0.39152,588.019281,4,0.037238,0.037237
ASV542,ASV542,,4,0.351779,0.37306,510.952017,1,0.0253,0.025299
ASV543,ASV543,,4,0.354784,0.375869,486.195267,0,0.025926,0.025926
ASV544,ASV544,,4,0.356816,0.379615,390.487253,6,0.0311,0.031101
ASV546,ASV546,,4,0.359078,0.38122,718.368337,1,0.025643,0.025643
ASV548,ASV548,,4,0.36095,0.384698,438.834755,6,0.045922,0.045923
ASV549,ASV549,,4,0.35784,0.378411,637.732693,5,0.023005,0.023005
