OTUid,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,MPC_01,MPC_02,MPC_03,MPC_04,MPC_05,MPC_06,MPC_07,MPC_08,MPC_09,MPC_10,MPC_11,MPC_12,MPC_13,MPC_14,MPC_15,MPC_16,MPC_17,MPC_18,PCN_1,PCN_2,PCN_3,PCN_4,PCN_5,PCN_6,PCN_7,PCN_8
ASV_28,153,1205,361,0,1651,0,113,15,260,293,0,0,0,32,36,1747,5633,0,91,0,646,629,73,0,0,0,0,48,0,58,0,0,0,105,350,50,1626,0,184,122,756,0,16,2125,845,0,0,48,51,1799,70,1418,109,0,0,46,0,868,673,0,75,0,0,135,757,1040,0,147,50,1560,3234,0,2559,212,214,0,0,24,0,0,225,0,1402,67,0,617,0,775,0,156,867,358,481,140,4617,89,203,0,0,3648,18,14,118,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
ASV_29,297,0,19,0,0,0,0,29,0,0,0,14,77,0,0,0,0,0,0,4,0,0,0,0,0,19,0,0,7,0,1659,23,0,0,312,0,0,0,0,0,0,327,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,2628,0,0,15,0,0,0,0,0,0,292,17506,0,29,0,188,0,66,0,0,14284,50,0,0,0,0,0,0,139,129,0,0,0,0,0,0,0,0,39,5193,0,0,0,26,0,21,0,0,0,0,0,0,0,0,126,0,15,23,0,0,0,0,0,7,0,0,15,0
ASV_30,2311,17,127,689,0,262,0,0,0,10,90,662,156,0,74,0,281,0,0,0,0,0,32,656,16,61,0,0,480,314,403,0,180,67,0,262,22,0,0,0,0,8026,6080,0,0,0,0,0,7,50,0,402,1134,749,0,3006,7,0,403,600,75,0,0,0,0,0,14,0,0,0,0,0,63,0,0,1945,1175,256,4344,92,755,1191,0,0,29,8,33,0,1648,0,0,0,0,0,21,298,0,353,0,0,0,265,0,4,0,39,0,12,13,0,0,0,0,0,0,0,0,17,0,0,0,0,0,38,0,0,0,0
ASV_31,65,0,28,0,0,581,0,167,0,38,487,231,476,34,42,143,47,84,249,48,0,0,670,0,0,0,0,0,0,0,382,313,0,152,41,90,0,75,138,28,47,0,0,52,41,585,2002,496,1108,536,2292,0,0,134,0,248,72,210,921,178,846,670,969,0,0,0,58,8,352,26,1776,0,584,715,8554,14,0,209,0,53,27,20,514,0,911,36,422,912,0,20,498,1409,405,621,0,512,285,223,23,0,661,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
ASV_32,118,25,277,0,268,0,0,79,144,186,43,128,42,310,234,82,81,123,200,630,338,24,0,0,166,0,28,58,140,457,0,0,60,305,94,248,183,365,210,54,0,0,0,1779,164,413,395,346,1952,917,248,191,320,22,1061,49,507,4669,361,51,66,34,260,215,1824,322,0,399,174,382,0,12,19,440,637,0,187,143,57,123,15,103,2281,309,117,66,158,630,0,185,678,3296,967,1386,62,567,154,0,0,0,0,0,103,16,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,13
ASV_33,121,640,534,430,416,158,403,271,1120,333,225,253,174,269,718,521,587,356,176,1332,127,523,339,0,72,48,78,150,63,346,64,374,167,271,478,418,1078,486,512,415,939,70,84,578,392,110,22,204,658,400,264,646,0,24,60,336,129,438,164,43,281,48,61,416,1552,1909,134,476,307,1213,465,57,506,319,199,138,199,307,138,94,82,65,520,517,141,397,101,174,72,385,284,287,152,104,279,273,306,0,68,914,0,0,102,0,0,11,0,0,0,0,0,0,0,0,0,0,0,38,0,0,11,0,4,3,22,2,11,0
ASV_34,511,347,34,23,48,417,43,61,875,68,192,61,12490,12,183,379,146,24,1065,71,3,17,6,15,27,0,34,28,93,14,2922,114,23,0,102,105,130,1252,28,1043,716,1807,209,0,220,27,0,14,60,143,412,115,11,0,101,224,47,252,77,383,1417,78,14,30,95,91,15,0,324,228,110,24,0,122,28,173,72,129,6,168,1856,100,18,22,43,71,24,7,1076,6,0,0,19,0,33,123,0,0,7,0,0,0,266,0,0,16,0,0,0,0,0,8,0,0,25,0,0,3,0,0,29,0,0,0,7,0,0,0
ASV_35,50,29,93,21,67,116,51,3901,0,56,372,230,1430,45,91,114,43,212,190,819,54,76,1164,0,33,145,297,238,171,879,434,776,81,653,20,115,202,255,41,1645,0,30,5,0,786,481,572,1921,230,964,737,0,0,3,32,156,23,0,44,88,265,0,201,179,111,8,173,511,187,56,281,55,883,553,5110,0,31,486,0,61,61,57,288,8,240,96,107,60,77,57,53,276,54,298,0,804,0,0,12,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,32,0,0,25,0,0,42,0,0,0,0,0,0,0
ASV_36,1331,0,0,36,0,1650,0,0,0,0,319,111,49,10,0,0,22,0,1251,0,0,0,22,0,0,0,606,0,120,0,0,2827,20,391,0,38,0,0,0,47,0,0,1359,26,26,0,275,0,0,0,3149,0,72,1139,3244,2829,0,18,254,885,39,717,0,9,0,4,0,42,222,29,53,67,0,0,0,228,43,89,95,173,364,196,72,0,2537,0,5365,10,376,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,12,0,31,0,0,22,0,0,0,29,0,0,0,47,0,0,0
ASV_37,66,83,222,0,152,157,53,54,816,282,99,76,126,625,1111,61,80,61,60,545,65,58,53,0,783,37,557,1605,67,53,93,641,49,0,60,615,359,645,19,304,1823,53,30,1239,35,3051,395,1767,5206,396,902,26,45,29,51,29,34,326,33,39,1350,0,674,77,450,24,69,135,220,277,64,0,0,51,245,0,20,115,0,25,51,10,137,121,520,92,50,61,68,249,7,0,6,7,0,31,211,427,0,0,0,0,140,0,0,10,0,0,0,0,0,0,3,0,0,0,0,68,0,0,81,0,0,8,6,0,10,0
